time,projectId,userId,metric_id,chunk_index,quality,body_pose,led_pd_pos,offset_column,exp,led,gain,value
1667895302.14,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.148,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.156,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.164,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.171,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.179,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.187,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.195,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.203,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.21,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.218,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.226,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.234,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.242,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.25,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.257,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.265,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.273,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.281,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.289,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.296,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.304,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
