projectId,userId,time,ecg
SCAI-ECG-BP,user_sensei_223,1668437747.8530624,-0.486
SCAI-ECG-BP,user_sensei_223,1668437747.860875,-0.656
SCAI-ECG-BP,user_sensei_223,1668437747.8686874,-0.854
SCAI-ECG-BP,user_sensei_223,1668437747.8765,-1.03
SCAI-ECG-BP,user_sensei_223,1668437747.8843124,-1.144
SCAI-ECG-BP,user_sensei_223,1668437747.892125,-1.213
SCAI-ECG-BP,user_sensei_223,1668437747.8999374,-1.225
SCAI-ECG-BP,user_sensei_223,1668437747.90775,-1.176
SCAI-ECG-BP,user_sensei_223,1668437747.9155624,-1.168
SCAI-ECG-BP,user_sensei_223,1668437747.923375,-1.184
SCAI-ECG-BP,user_sensei_223,1668437747.9311874,-1.209
SCAI-ECG-BP,user_sensei_223,1668437747.939,-1.232
SCAI-ECG-BP,user_sensei_223,1668437747.9468124,-1.316
SCAI-ECG-BP,user_sensei_223,1668437747.954625,-1.41
SCAI-ECG-BP,user_sensei_223,1668437747.9624374,-1.52
SCAI-ECG-BP,user_sensei_223,1668437747.97025,-1.515
SCAI-ECG-BP,user_sensei_223,1668437747.9780624,-1.462
SCAI-ECG-BP,user_sensei_223,1668437747.985875,-1.446
SCAI-ECG-BP,user_sensei_223,1668437747.9936874,-1.264
SCAI-ECG-BP,user_sensei_223,1668437748.0015,-1.144
SCAI-ECG-BP,user_sensei_223,1668437748.0093124,-1.207
SCAI-ECG-BP,user_sensei_223,1668437748.017125,-1.207
SCAI-ECG-BP,user_sensei_223,1668437748.0249374,-1.172
SCAI-ECG-BP,user_sensei_223,1668437748.03275,-1.114
SCAI-ECG-BP,user_sensei_223,1668437748.0405624,-0.808
SCAI-ECG-BP,user_sensei_223,1668437748.048375,-1.003
SCAI-ECG-BP,user_sensei_223,1668437748.0561874,-1.775
SCAI-ECG-BP,user_sensei_223,1668437748.064,-1.974
SCAI-ECG-BP,user_sensei_223,1668437748.0718124,-1.994
SCAI-ECG-BP,user_sensei_223,1668437748.079625,-2.024
SCAI-ECG-BP,user_sensei_223,1668437748.0874374,-1.978
SCAI-ECG-BP,user_sensei_223,1668437748.09525,-1.934
SCAI-ECG-BP,user_sensei_223,1668437748.1030624,-1.916
SCAI-ECG-BP,user_sensei_223,1668437748.110875,-1.889
SCAI-ECG-BP,user_sensei_223,1668437748.1186874,-1.78
SCAI-ECG-BP,user_sensei_223,1668437748.1265,-1.808
SCAI-ECG-BP,user_sensei_223,1668437748.1343124,-1.756
SCAI-ECG-BP,user_sensei_223,1668437748.142125,-1.762
SCAI-ECG-BP,user_sensei_223,1668437748.1499374,-1.854
SCAI-ECG-BP,user_sensei_223,1668437748.15775,-1.799
SCAI-ECG-BP,user_sensei_223,1668437748.1655624,-1.881
SCAI-ECG-BP,user_sensei_223,1668437748.173375,-1.965
SCAI-ECG-BP,user_sensei_223,1668437748.1811874,-2.045
SCAI-ECG-BP,user_sensei_223,1668437748.189,-2.099
SCAI-ECG-BP,user_sensei_223,1668437748.1968124,-2.128
SCAI-ECG-BP,user_sensei_223,1668437748.204625,-2.318
SCAI-ECG-BP,user_sensei_223,1668437748.2124374,-2.255
SCAI-ECG-BP,user_sensei_223,1668437748.22025,-2.315
SCAI-ECG-BP,user_sensei_223,1668437748.2280624,-2.411
SCAI-ECG-BP,user_sensei_223,1668437748.235875,-2.531
SCAI-ECG-BP,user_sensei_223,1668437748.2436874,-2.415
SCAI-ECG-BP,user_sensei_223,1668437748.2515,-2.501
SCAI-ECG-BP,user_sensei_223,1668437748.2593124,-2.606
SCAI-ECG-BP,user_sensei_223,1668437748.267125,-2.681
SCAI-ECG-BP,user_sensei_223,1668437748.2749374,-2.782
SCAI-ECG-BP,user_sensei_223,1668437748.28275,-2.823
SCAI-ECG-BP,user_sensei_223,1668437748.2905624,-2.879
SCAI-ECG-BP,user_sensei_223,1668437748.298375,-2.976
SCAI-ECG-BP,user_sensei_223,1668437748.3061874,-2.939
SCAI-ECG-BP,user_sensei_223,1668437748.314,-2.986
SCAI-ECG-BP,user_sensei_223,1668437748.3218124,-3.146
SCAI-ECG-BP,user_sensei_223,1668437748.329625,-3.104
SCAI-ECG-BP,user_sensei_223,1668437748.3374374,-3.197
SCAI-ECG-BP,user_sensei_223,1668437748.34525,-3.287
SCAI-ECG-BP,user_sensei_223,1668437748.3530624,-3.328
SCAI-ECG-BP,user_sensei_223,1668437748.360875,-3.375
SCAI-ECG-BP,user_sensei_223,1668437748.3686874,-3.454
SCAI-ECG-BP,user_sensei_223,1668437748.3765,-3.513
SCAI-ECG-BP,user_sensei_223,1668437748.3843124,-3.451
SCAI-ECG-BP,user_sensei_223,1668437748.392125,-3.505
SCAI-ECG-BP,user_sensei_223,1668437748.3999374,-3.554
SCAI-ECG-BP,user_sensei_223,1668437748.40775,-3.618
SCAI-ECG-BP,user_sensei_223,1668437748.4155624,-3.612
SCAI-ECG-BP,user_sensei_223,1668437748.423375,-3.651
SCAI-ECG-BP,user_sensei_223,1668437748.4311874,-3.692
SCAI-ECG-BP,user_sensei_223,1668437748.439,-3.745
SCAI-ECG-BP,user_sensei_223,1668437748.4468124,-3.771
SCAI-ECG-BP,user_sensei_223,1668437748.454625,-3.738
SCAI-ECG-BP,user_sensei_223,1668437748.4624374,-3.804
SCAI-ECG-BP,user_sensei_223,1668437748.47025,-3.84
SCAI-ECG-BP,user_sensei_223,1668437748.4780624,-3.879
SCAI-ECG-BP,user_sensei_223,1668437748.485875,-3.908
SCAI-ECG-BP,user_sensei_223,1668437748.4936874,-3.974
SCAI-ECG-BP,user_sensei_223,1668437748.5015,-3.981
