projectId,userId,time,rr
SCAI-ECG-BP,user_sensei_661,1668087868.581,12
SCAI-ECG-BP,user_sensei_661,1668087869.581,12
SCAI-ECG-BP,user_sensei_661,1668087870.581,12
SCAI-ECG-BP,user_sensei_661,1668087871.581,12
SCAI-ECG-BP,user_sensei_661,1668087872.581,12
SCAI-ECG-BP,user_sensei_661,1668087873.581,12
SCAI-ECG-BP,user_sensei_661,1668087874.581,12
SCAI-ECG-BP,user_sensei_661,1668087875.581,12
SCAI-ECG-BP,user_sensei_661,1668087876.581,12
SCAI-ECG-BP,user_sensei_661,1668087877.581,12
SCAI-ECG-BP,user_sensei_661,1668087878.581,12
SCAI-ECG-BP,user_sensei_661,1668087879.581,12
SCAI-ECG-BP,user_sensei_661,1668087880.581,12
SCAI-ECG-BP,user_sensei_661,1668087881.581,12
SCAI-ECG-BP,user_sensei_661,1668087882.581,12
SCAI-ECG-BP,user_sensei_661,1668087884.581,0
SCAI-ECG-BP,user_sensei_661,1668087885.581,0
SCAI-ECG-BP,user_sensei_661,1668087886.581,0
SCAI-ECG-BP,user_sensei_661,1668087887.581,0
SCAI-ECG-BP,user_sensei_661,1668087888.581,0
SCAI-ECG-BP,user_sensei_661,1668087889.581,0
SCAI-ECG-BP,user_sensei_661,1668087890.581,0
SCAI-ECG-BP,user_sensei_661,1668087891.581,0
SCAI-ECG-BP,user_sensei_661,1668087892.581,0
SCAI-ECG-BP,user_sensei_661,1668087893.581,0
SCAI-ECG-BP,user_sensei_661,1668087894.581,0
SCAI-ECG-BP,user_sensei_661,1668087895.581,0
SCAI-ECG-BP,user_sensei_661,1668087896.581,0
SCAI-ECG-BP,user_sensei_661,1668087897.581,0
SCAI-ECG-BP,user_sensei_661,1668087898.581,0
SCAI-ECG-BP,user_sensei_661,1668087899.581,0
SCAI-ECG-BP,user_sensei_661,1668087900.581,0
SCAI-ECG-BP,user_sensei_661,1668087901.581,0
SCAI-ECG-BP,user_sensei_661,1668087902.581,0
SCAI-ECG-BP,user_sensei_661,1668087903.581,0
SCAI-ECG-BP,user_sensei_661,1668087904.581,0
SCAI-ECG-BP,user_sensei_661,1668087905.581,0
SCAI-ECG-BP,user_sensei_661,1668087906.581,0
SCAI-ECG-BP,user_sensei_661,1668087907.581,0
SCAI-ECG-BP,user_sensei_661,1668087908.581,0
SCAI-ECG-BP,user_sensei_661,1668087909.581,0
SCAI-ECG-BP,user_sensei_661,1668087910.581,0
SCAI-ECG-BP,user_sensei_661,1668087911.581,0
SCAI-ECG-BP,user_sensei_661,1668087912.581,0
SCAI-ECG-BP,user_sensei_661,1668087913.581,0
SCAI-ECG-BP,user_sensei_661,1668087914.581,0
SCAI-ECG-BP,user_sensei_661,1668087915.581,0
SCAI-ECG-BP,user_sensei_661,1668087916.581,24
SCAI-ECG-BP,user_sensei_661,1668087917.581,22
SCAI-ECG-BP,user_sensei_661,1668087918.581,22
SCAI-ECG-BP,user_sensei_661,1668087919.581,22
SCAI-ECG-BP,user_sensei_661,1668087920.581,21
SCAI-ECG-BP,user_sensei_661,1668087921.581,22
SCAI-ECG-BP,user_sensei_661,1668087922.581,22
SCAI-ECG-BP,user_sensei_661,1668087923.581,21
SCAI-ECG-BP,user_sensei_661,1668087924.581,21
SCAI-ECG-BP,user_sensei_661,1668087925.581,22
SCAI-ECG-BP,user_sensei_661,1668087926.581,21
SCAI-ECG-BP,user_sensei_661,1668087927.581,21
SCAI-ECG-BP,user_sensei_661,1668087928.581,21
SCAI-ECG-BP,user_sensei_661,1668087929.581,21
SCAI-ECG-BP,user_sensei_661,1668087930.581,21
