projectId,userId,time,hr
SCAI-ECG-BP,user_sensei_223,1668438174.692,86
SCAI-ECG-BP,user_sensei_223,1668438175.692,87
SCAI-ECG-BP,user_sensei_223,1668438176.692,88
SCAI-ECG-BP,user_sensei_223,1668438177.692,88
SCAI-ECG-BP,user_sensei_223,1668438178.692,89
SCAI-ECG-BP,user_sensei_223,1668438179.692,89
SCAI-ECG-BP,user_sensei_223,1668438180.692,89
SCAI-ECG-BP,user_sensei_223,1668438181.692,88
SCAI-ECG-BP,user_sensei_223,1668438182.692,87
SCAI-ECG-BP,user_sensei_223,1668438183.692,85
SCAI-ECG-BP,user_sensei_223,1668438184.692,83
SCAI-ECG-BP,user_sensei_223,1668438185.692,82
SCAI-ECG-BP,user_sensei_223,1668438186.692,80
SCAI-ECG-BP,user_sensei_223,1668438187.692,79
SCAI-ECG-BP,user_sensei_223,1668438188.692,78
SCAI-ECG-BP,user_sensei_223,1668438189.692,77
SCAI-ECG-BP,user_sensei_223,1668438190.692,77
SCAI-ECG-BP,user_sensei_223,1668438191.692,76
SCAI-ECG-BP,user_sensei_223,1668438192.692,76
SCAI-ECG-BP,user_sensei_223,1668438193.692,75
SCAI-ECG-BP,user_sensei_223,1668438194.692,75
SCAI-ECG-BP,user_sensei_223,1668438195.692,74
SCAI-ECG-BP,user_sensei_223,1668438196.692,74
SCAI-ECG-BP,user_sensei_223,1668438197.692,73
SCAI-ECG-BP,user_sensei_223,1668438198.692,73
SCAI-ECG-BP,user_sensei_223,1668438199.692,73
SCAI-ECG-BP,user_sensei_223,1668438200.692,74
SCAI-ECG-BP,user_sensei_223,1668438201.692,74
SCAI-ECG-BP,user_sensei_223,1668438202.692,74
SCAI-ECG-BP,user_sensei_223,1668438203.692,74
SCAI-ECG-BP,user_sensei_223,1668438204.692,75
SCAI-ECG-BP,user_sensei_223,1668438205.692,75
SCAI-ECG-BP,user_sensei_223,1668438206.692,75
SCAI-ECG-BP,user_sensei_223,1668438207.692,75
SCAI-ECG-BP,user_sensei_223,1668438208.692,75
SCAI-ECG-BP,user_sensei_223,1668438209.692,74
SCAI-ECG-BP,user_sensei_223,1668438210.692,74
SCAI-ECG-BP,user_sensei_223,1668438211.692,73
SCAI-ECG-BP,user_sensei_223,1668438212.692,73
SCAI-ECG-BP,user_sensei_223,1668438213.692,73
SCAI-ECG-BP,user_sensei_223,1668438214.692,73
SCAI-ECG-BP,user_sensei_223,1668438215.692,72
SCAI-ECG-BP,user_sensei_223,1668438216.692,72
SCAI-ECG-BP,user_sensei_223,1668438217.692,72
SCAI-ECG-BP,user_sensei_223,1668438218.692,72
SCAI-ECG-BP,user_sensei_223,1668438219.692,72
SCAI-ECG-BP,user_sensei_223,1668438220.692,71
SCAI-ECG-BP,user_sensei_223,1668438221.692,71
SCAI-ECG-BP,user_sensei_223,1668438222.692,70
SCAI-ECG-BP,user_sensei_223,1668438223.692,69
SCAI-ECG-BP,user_sensei_223,1668438224.692,69
SCAI-ECG-BP,user_sensei_223,1668438225.692,69
SCAI-ECG-BP,user_sensei_223,1668438226.692,69
SCAI-ECG-BP,user_sensei_223,1668438227.692,69
SCAI-ECG-BP,user_sensei_223,1668438228.692,70
SCAI-ECG-BP,user_sensei_223,1668438229.692,71
SCAI-ECG-BP,user_sensei_223,1668438230.692,72
SCAI-ECG-BP,user_sensei_223,1668438231.692,72
SCAI-ECG-BP,user_sensei_223,1668438232.692,73
SCAI-ECG-BP,user_sensei_223,1668438233.692,73
SCAI-ECG-BP,user_sensei_223,1668438234.692,73
SCAI-ECG-BP,user_sensei_223,1668438235.692,73
SCAI-ECG-BP,user_sensei_223,1668438236.692,72
SCAI-ECG-BP,user_sensei_223,1668438237.693,72
SCAI-ECG-BP,user_sensei_223,1668438238.692,72
SCAI-ECG-BP,user_sensei_223,1668438239.692,72
SCAI-ECG-BP,user_sensei_223,1668438240.693,72
SCAI-ECG-BP,user_sensei_223,1668438241.692,72
SCAI-ECG-BP,user_sensei_223,1668438242.692,73
SCAI-ECG-BP,user_sensei_223,1668438243.693,73
SCAI-ECG-BP,user_sensei_223,1668438244.692,74
SCAI-ECG-BP,user_sensei_223,1668438245.692,74
SCAI-ECG-BP,user_sensei_223,1668438246.693,74
SCAI-ECG-BP,user_sensei_223,1668438247.692,73
SCAI-ECG-BP,user_sensei_223,1668438248.692,72
SCAI-ECG-BP,user_sensei_223,1668438249.692,72
SCAI-ECG-BP,user_sensei_223,1668438250.692,71
SCAI-ECG-BP,user_sensei_223,1668438251.692,70
SCAI-ECG-BP,user_sensei_223,1668438252.692,72
SCAI-ECG-BP,user_sensei_223,1668438253.692,74
SCAI-ECG-BP,user_sensei_223,1668438254.692,76
SCAI-ECG-BP,user_sensei_223,1668438255.692,78
SCAI-ECG-BP,user_sensei_223,1668438256.692,81
SCAI-ECG-BP,user_sensei_223,1668438257.692,81
SCAI-ECG-BP,user_sensei_223,1668438258.692,81
SCAI-ECG-BP,user_sensei_223,1668438259.692,80
SCAI-ECG-BP,user_sensei_223,1668438260.692,79
SCAI-ECG-BP,user_sensei_223,1668438261.692,78
SCAI-ECG-BP,user_sensei_223,1668438262.692,76
SCAI-ECG-BP,user_sensei_223,1668438263.692,75
SCAI-ECG-BP,user_sensei_223,1668438264.692,75
SCAI-ECG-BP,user_sensei_223,1668438265.692,75
SCAI-ECG-BP,user_sensei_223,1668438266.692,75
SCAI-ECG-BP,user_sensei_223,1668438267.692,75
SCAI-ECG-BP,user_sensei_223,1668438268.692,75
SCAI-ECG-BP,user_sensei_223,1668438269.692,74
SCAI-ECG-BP,user_sensei_223,1668438270.693,74
SCAI-ECG-BP,user_sensei_223,1668438271.692,73
SCAI-ECG-BP,user_sensei_223,1668438272.692,73
SCAI-ECG-BP,user_sensei_223,1668438273.693,73
SCAI-ECG-BP,user_sensei_223,1668438274.692,73
SCAI-ECG-BP,user_sensei_223,1668438275.692,73
SCAI-ECG-BP,user_sensei_223,1668438276.692,74
SCAI-ECG-BP,user_sensei_223,1668438277.692,74
SCAI-ECG-BP,user_sensei_223,1668438278.692,75
SCAI-ECG-BP,user_sensei_223,1668438279.692,75
SCAI-ECG-BP,user_sensei_223,1668438280.692,76
SCAI-ECG-BP,user_sensei_223,1668438281.692,76
SCAI-ECG-BP,user_sensei_223,1668438282.692,76
SCAI-ECG-BP,user_sensei_223,1668438283.692,77
SCAI-ECG-BP,user_sensei_223,1668438284.692,77
SCAI-ECG-BP,user_sensei_223,1668438285.692,77
SCAI-ECG-BP,user_sensei_223,1668438286.692,77
SCAI-ECG-BP,user_sensei_223,1668438287.692,77
SCAI-ECG-BP,user_sensei_223,1668438288.692,78
SCAI-ECG-BP,user_sensei_223,1668438289.692,78
SCAI-ECG-BP,user_sensei_223,1668438290.692,78
SCAI-ECG-BP,user_sensei_223,1668438291.692,78
SCAI-ECG-BP,user_sensei_223,1668438292.692,78
SCAI-ECG-BP,user_sensei_223,1668438293.692,78
SCAI-ECG-BP,user_sensei_223,1668438294.692,79
SCAI-ECG-BP,user_sensei_223,1668438295.692,79
SCAI-ECG-BP,user_sensei_223,1668438296.692,79
SCAI-ECG-BP,user_sensei_223,1668438297.692,79
SCAI-ECG-BP,user_sensei_223,1668438298.692,79
SCAI-ECG-BP,user_sensei_223,1668438299.692,79
SCAI-ECG-BP,user_sensei_223,1668438300.692,79
SCAI-ECG-BP,user_sensei_223,1668438301.692,78
SCAI-ECG-BP,user_sensei_223,1668438302.692,78
SCAI-ECG-BP,user_sensei_223,1668438303.692,77
SCAI-ECG-BP,user_sensei_223,1668438304.692,77
SCAI-ECG-BP,user_sensei_223,1668438305.692,76
SCAI-ECG-BP,user_sensei_223,1668438306.692,77
SCAI-ECG-BP,user_sensei_223,1668438307.692,77
